#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.001043023716537589589	0.	0.001043023716537589589	0.001043023716537589589	0	0	32	16384
8	0.001008484904911232999	0.	0.001008484904911232999	0.001008484904911232999	0	0	32	16384
16	0.00003717971989077040602	0.e-8	0.00003717971989077040602	0.00003717971989077040602	0	0	32	16384
32	0.0001676217085495591537	0.e-7	0.0001676217085495591537	0.0001676217085495591537	0	0	32	16384
64	0.00004263833483503083702	0.e-8	0.00004263833483503083702	0.00004263833483503083702	0	0	32	16384
128	1.464706423976414939e-6	0.e-11	1.464706423976414939e-6	1.464706423976414939e-6	0	0	32	16384
256	1.206870189147313438e-10	0.e-19	1.206870189147313438e-10	1.206870189147313438e-10	0	0	32	16384
512	2.660409690055551529e-8	0.e-15	2.660409690055551529e-8	2.660409690055551529e-8	0	0	32	16384
1024	1.245504227497230386e-8	0.e-15	1.245504227497230386e-8	1.245504227497230386e-8	0	0	32	16384
2048	1.16868305181821333e-10	0.e-19	1.16868305181821333e-10	1.16868305181821333e-10	0	0	32	16384
4096	6.194601628729045999e-10	0.e-18	6.194601628729045999e-10	6.194601628729045999e-10	0	0	32	16384
8192	1.83787044392943399e-11	0.e-21	1.83787044392943399e-11	1.83787044392943399e-11	0	0	32	16384
16384	7.167785440917254249e-13	0.e-24	7.167785440917254249e-13	7.167785440917254249e-13	0	0	32	16384
32768	6.787892060119180173e-13	0.e-24	6.787892060119180173e-13	6.787892060119180173e-13	0	0	32	16384
65536	8.36868610178160116e-15	0.e-28	8.36868610178160116e-15	8.36868610178160116e-15	0	0	32	16384
