#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.003311392063195134	0.00007576137752449608	4.073669781375135726e-8	0.06377732261704278927	0	0	1024	16384
9	0.0011006181596564637832	3.24783850468448667e-6	1.36652562536720707e-9	0.01988504632821370618	0	0	1024	16384
16	0.0006726399591505903908	1.109584728056434441e-6	7.56483012021590062e-12	0.00907512674295899921	0	0	1024	16384
36	0.0002392135775020288619	1.174251881367046269e-7	1.329369007250554328e-11	0.003373582998413309896	0	0	1024	16384
64	0.0001442166300880444	3.7019377212585053e-8	1.782931981626904355e-10	0.002095151666901720871	0	0	1024	16384
121	0.00004375337643961061396	3.50206257249094851e-9	1.620115749835735398e-11	0.0004554661822936575109	0	0	1024	16384
256	0.00001728641935629919	5.410662771323634e-10	1.910849452254777954e-11	0.0001700113599098379579	0	0	1024	16384
529	7.132085841749458e-6	9.665392431477959e-11	5.484511603849489693e-13	0.00008938748687548765638	0	0	1024	16384
1024	1.131909406113486e-6	2.670760631545408e-12	2.507727838727743856e-13	0.00001122867409512258801	0	0	1024	16384
2025	3.670477393251981661e-7	2.695068534710353452e-13	1.163640309086946019e-12	4.209738609184396834e-6	0	0	1024	16384
4096	9.789959365061932837e-8	1.998681532317323894e-14	3.070090390755451816e-12	1.398861939009430613e-6	0	0	1024	16384
8281	2.386970843441327738e-8	1.070305826150902757e-15	1.547445715747023502e-14	2.12701603951935129e-7	0	0	1024	16384
16384	6.403571180916177e-9	8.141022569069236e-17	1.256901598814708328e-14	7.804824233614387652e-8	0	0	1024	16384
32761	1.624991967535588129e-9	5.51870226160441414e-18	6.966958139449727956e-15	1.937560114769608561e-8	0	0	1024	16384
65536	4.4182741591445404e-10	3.8729799113341163e-19	2.418023863427458135e-15	5.459840038084293759e-9	0	0	1024	16384
