#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.00518530896300228679	0.000115261357105083796	0.000134441894337643041	0.04598270730452359845	0	0	64	16384
8	0.003082379660575785442	0.00005963705059106675757	8.70372027503030023e-7	0.0432898766903817081	0	0	64	16384
16	0.0007419789325083804312	6.10016600081186678e-7	1.21793965084738432e-6	0.00559497407853131595	0	0	64	16384
32	0.0005367961762527628471	6.05143690717353037e-7	2.92923951278824338e-7	0.005287804879833242835	0	0	64	16384
64	0.0003443798659092416692	6.168156374444121059e-7	4.689319519082188627e-8	0.005356746328760719072	0	0	64	16384
128	0.0001386953451309636526	6.77111338660317382e-8	1.272496224429968888e-10	0.001760167633344813208	0	0	64	16384
256	0.00010203407100064968283	2.140469903106345684e-8	7.081587719669856215e-10	0.0009284039629765964211	0	0	64	16384
512	0.00005083283461974044381	5.00870835023782077e-9	5.213442736908624493e-8	0.0003553821384255663181	0	0	64	16384
1024	0.000016179001088106615385	6.917209201121554321e-10	1.393233879901370863e-8	0.0001721305146399108941	0	0	64	16384
2048	8.59224269960932135e-6	1.158559460924041751e-10	3.068536330937459734e-9	0.00004603446552479007608	0	0	64	16384
4096	3.782072371626798017e-6	2.99158070646289719e-11	1.618611457205527204e-9	0.00002240988907281180623	0	0	64	16384
8192	1.8428051000842588816e-6	6.82644080964698958e-12	1.791096948185090884e-9	0.00001180069853568901114	0	0	64	16384
16384	1.0241135131149640135e-6	2.305527297882428294e-12	3.512612133199129351e-11	7.847931853578739598e-6	0	0	64	16384
32768	4.781077336376461724e-7	3.40957936458793726e-13	4.250000578927762422e-13	2.731541438267732915e-6	0	0	64	16384
65536	3.112325944521930726e-7	2.411917957421416723e-13	8.876937559918871e-10	2.681177660698684986e-6	0	0	64	16384
