#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.2907886943359375	0.00034686848194069163	0.239848	0.360156	0	0	1024	0
8	0.155343029296875	0.000045330457099825135	0.138084	0.187485	0	0	1024	0
16	0.08265754423828123	6.1463889833098765e-6	0.075318	0.0957577	0	0	1024	0
32	0.043801406640625	7.697343125585562e-7	0.0410525	0.0467791	0	0	512	0
64	0.02306807890625	8.244012888664217e-8	0.022223	0.0240172	0	0	256	0
128	0.01212907734375	1.5304986490526586e-8	0.0117339	0.0124124	0	0	128	0
256	0.0063710151562500015	1.9421035714037707e-9	0.00627508	0.00645465	0	0	64	0
512	0.0033327443750000006	1.9870907056451512e-10	0.00330639	0.00336294	0	0	32	0
1024	0.001739311875	1.9464656250000008e-11	0.00173173	0.0017463	0	0	16	0
2048	0.0009070988125000001	5.8307913624999394e-12	0.00090187	0.000911968	0	0	16	0
4096	0.00047157149999999996	3.151412000000043e-13	0.000470523	0.000472456	0	0	16	0
8192	0.00024495306250000003	6.48212624999978e-14	0.000244464	0.000245325	0	0	16	0
16384	0.000127046625	4.125583333333413e-15	0.000126944	0.000127167	0	0	16	0
32768	0.000065816375	1.0955606666667058e-15	0.0000657651	0.0000658824	0	0	16	0
65536	0.00003403771875	1.399882916666481e-16	0.0000340201	0.0000340612	0	0	16	0
131072	0.000017585775000000002	1.4064666666664095e-17	0.0000175813	0.0000175949	0	0	16	0
262144	9.075711249999998e-6	3.1880250000000813e-18	9.07298e-6	9.07835e-6	0	0	16	0
