#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.43733926269531254	0.0006385227511596623	0.382162	0.578705	0	0	1024	0
8	0.285336646484375	0.00019183976733922538	0.252199	0.362982	0	0	1024	0
16	0.1505816396484375	0.00002528812351518111	0.137565	0.172429	0	0	1024	0
32	0.0840194177734375	3.3425021989985548e-6	0.0786246	0.0916069	0	0	512	0
64	0.0522623625	9.773368035294116e-7	0.0495455	0.0550221	0	0	256	0
128	0.022997880468750002	5.502477575725883e-8	0.0225089	0.0235726	0	0	128	0
256	0.014582801562499994	1.6914422695932544e-8	0.0142684	0.014854	0	0	64	0
512	0.008178655	4.519747141935502e-9	0.00804222	0.00835398	0	0	32	0
1024	0.0045981287499999995	3.129163583333312e-10	0.0045719	0.00463415	0	0	16	0
2048	0.00232859375	1.0318402678571468e-10	0.00231065	0.00234202	0	0	8	0
4096	0.0013881975	1.1019583333334968e-12	0.00138683	0.00138932	0	0	4	0
8192	0.0007832144999999999	9.258036666667113e-13	0.000781928	0.00078417	0	0	4	0
16384	0.00039105524999999994	8.680942500000328e-13	0.00039033	0.00039236	0	0	4	0
32768	0.0002110535	2.732833333333483e-14	0.000210813	0.000211177	0	0	4	0
65536	0.000107329	7.018000000000067e-15	0.000107262	0.000107442	0	0	4	0
131072	0.000052104725	1.3510916666666397e-16	0.0000520966	0.0000521213	0	0	4	0
262144	0.00002690735	6.090000000001976e-18	0.0000269056	0.000026911	0	0	4	0
