#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
1	1.3599518749999997	0.03794344071388887	1.03649	1.93083	0	0	64	1024
16	0.257569734375	0.001142443259372768	0.195259	0.36137	0	0	64	1024
16	0.250913765625	0.0007935663895156247	0.20208	0.321016	0	0	64	1024
16	0.24975509375000002	0.0008180182296101189	0.174016	0.314734	0	0	64	1024
81	0.09359274999999997	0.00008406144731746034	0.0763291	0.119285	0	0	64	1024
81	0.09402969687500004	0.00008222557083237106	0.0780723	0.123281	0	0	64	1024
256	0.04555631406249998	0.000017889921714878464	0.0376905	0.0596866	0	0	64	1024
625	0.026510965624999994	5.725882016259921e-6	0.0215667	0.0366607	0	0	64	1024
1296	0.016678978125	9.050436353869045e-7	0.0148365	0.0194612	0	0	64	1024
2401	0.01126882234375	5.086053330626735e-7	0.00979373	0.0132865	0	0	64	1024
4096	0.008135704375000002	2.3309396709801597e-7	0.00724086	0.0093997	0	0	64	1024
10000	0.004697202343749998	6.302261547537198e-8	0.0040426	0.00560277	0	0	64	1024
14641	0.0037111001562500014	3.9602669353943455e-8	0.00334013	0.00436406	0	0	64	1024
28561	0.00245590171875	1.351965076049106e-8	0.00213954	0.00277198	0	0	64	1024
65536	0.0014646185937500001	4.578381799578373e-9	0.00134255	0.00162318	0	0	64	1024
130321	0.0009480208437500004	1.1775331313720234e-9	0.000876161	0.00103942	0	0	64	1024
279841	0.0005871340625000002	5.522346807579367e-10	0.000530823	0.000634258	0	0	64	1024
