#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.42711209374999975	0.0010454793134513887	0.369722	0.517601	0	0	64	0
8	0.25135575	0.0003875631055873016	0.219155	0.310798	0	0	64	0
16	0.15278996874999998	0.00011364004561805556	0.132143	0.182484	0	0	64	0
32	0.09530652343749997	0.00007829496452626736	0.0784798	0.122564	0	0	64	0
64	0.06294379531249998	0.00003354238704870784	0.0507381	0.0751753	0	0	64	0
128	0.043375996875	0.000017034720873323416	0.0353144	0.0554383	0	0	64	0
256	0.029699271875000016	0.000012147099745863098	0.0244273	0.039848	0	0	64	0
512	0.020671803124999995	4.864297903482143e-6	0.0162374	0.0261572	0	0	64	0
1024	0.0149460140625	4.041920471386409e-6	0.0116685	0.020959	0	0	64	0
2048	0.01066382140625	1.927033281675769e-6	0.00846431	0.0137943	0	0	64	0
4096	0.007412629843750001	1.1633892946079118e-6	0.00593401	0.0104639	0	0	64	0
8192	0.005275877031250001	4.4603002730691966e-7	0.00395016	0.00746652	0	0	64	0
16384	0.0036825640625000006	2.2204612363402774e-7	0.0028396	0.00465993	0	0	64	0
32768	0.00261526578125	1.0031689096128473e-7	0.0020078	0.00346396	0	0	64	0
65536	0.0018892343750000007	9.590485030753967e-8	0.00134419	0.00294659	0	0	64	0
