#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	2.12141	0	2.12141	2.12141	0	0	1	0
8	1.21806	0	1.21806	1.21806	0	0	1	0
16	0.584504	0	0.584504	0.584504	0	0	1	0
32	0.295666	0	0.295666	0.295666	0	0	1	0
64	0.14541	0	0.14541	0.14541	0	0	1	0
128	0.081157	0	0.081157	0.081157	0	0	1	0
256	0.0381727	0	0.0381727	0.0381727	0	0	1	0
512	0.0244258	0	0.0244258	0.0244258	0	0	1	0
1024	0.0121864	0	0.0121864	0.0121864	0	0	1	0
2048	0.00855756	0	0.00855756	0.00855756	0	0	1	0
4096	0.0043068	0	0.0043068	0.0043068	0	0	1	0
8192	0.00259895	0	0.00259895	0.00259895	0	0	1	0
16384	0.00133405	0	0.00133405	0.00133405	0	0	1	0
32768	0.000817796	0	0.000817796	0.000817796	0	0	1	0
65536	0.000439563	0	0.000439563	0.000439563	0	0	1	0
131072	0.00022502	0	0.00022502	0.00022502	0	0	1	0
