#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	3.70753	0	3.70753	3.70753	0	0	1	0
8	1.93434	0	1.93434	1.93434	0	0	1	0
16	1.0175	0	1.0175	1.0175	0	0	1	0
32	0.509708	0	0.509708	0.509708	0	0	1	0
64	0.272802	0	0.272802	0.272802	0	0	1	0
128	0.144611	0	0.144611	0.144611	0	0	1	0
256	0.0858424	0	0.0858424	0.0858424	0	0	1	0
512	0.0485214	0	0.0485214	0.0485214	0	0	1	0
1024	0.026323	0	0.026323	0.026323	0	0	1	0
2048	0.0158906	0	0.0158906	0.0158906	0	0	1	0
4096	0.00909499	0	0.00909499	0.00909499	0	0	1	0
8192	0.00526635	0	0.00526635	0.00526635	0	0	1	0
16384	0.00296069	0	0.00296069	0.00296069	0	0	1	0
32768	0.00175202	0	0.00175202	0.00175202	0	0	1	0
65536	0.00105757	0	0.00105757	0.00105757	0	0	1	0
131072	0.000613734	0	0.000613734	0.000613734	0	0	1	0
262144	0.00038503	0	0.00038503	0.00038503	0	0	1	0
524288	0.000206966	0	0.000206966	0.000206966	0	0	1	0
1048576	0.000102184	0	0.000102184	0.000102184	0	0	1	0
