#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.24948898437500006	0.002685946236364831	0.173876	0.38358	0	0	64	0
8	0.146668140625	0.0010899170119957838	0.106244	0.248633	0	0	64	0
16	0.08901392031249998	0.0003216051609800571	0.0616823	0.155477	0	0	64	0
32	0.05850602500000003	0.00016789628509365081	0.0402142	0.0898595	0	0	64	0
64	0.035250009374999995	0.00007638237407451389	0.025383	0.0620555	0	0	64	0
128	0.0215409875	0.000012198574817619046	0.0149015	0.029942	0	0	64	0
256	0.0139125196875	9.618719528434821e-6	0.00941712	0.0207917	0	0	64	0
512	0.0095326646875	5.183508625047521e-6	0.00590914	0.0167737	0	0	64	0
1024	0.00632578359375	2.2123833158424356e-6	0.0037879	0.010558	0	0	64	0
2048	0.00428335578125	1.2140897999962053e-6	0.00250827	0.00771948	0	0	64	0
4096	0.0027920334375	4.83933499772123e-7	0.00177413	0.00483958	0	0	64	0
8192	0.0020088976562500005	2.407928357420387e-7	0.00106907	0.00353944	0	0	64	0
16384	0.0013749541875000004	1.417272596161548e-7	0.000839618	0.00237076	0	0	64	0
32768	0.0009527162187499999	1.0198615501639582e-7	0.000552045	0.00201722	0	0	64	0
65536	0.0006357689531250001	3.246020764306126e-8	0.000331674	0.00113487	0	0	64	0
131072	0.0004616681406249999	1.978021529913864e-8	0.000252147	0.000846194	0	0	64	0
