#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.17490854687500001	0.0008016272121564983	0.147252	0.255	0	0	64	1024
8	0.11478570312499996	0.00003362578710094246	0.102574	0.125804	0	0	64	1024
16	0.07272505781249998	0.00001874127937930306	0.0664533	0.0866502	0	0	64	1024
32	0.043924409375000015	5.8607280449900775e-6	0.0387365	0.0506381	0	0	64	1024
64	0.025883857812499994	2.277720458033234e-6	0.0230242	0.0313592	0	0	64	1024
128	0.015112445312499992	9.497611514062498e-7	0.0133369	0.01738	0	0	64	1024
256	0.008350197968750002	2.3188093373390381e-7	0.00729271	0.00977598	0	0	64	1024
512	0.004691859531250001	5.5529311150570446e-8	0.00420094	0.00547017	0	0	64	1024
1024	0.0027342120312500006	2.419821674025298e-8	0.00245054	0.00315827	0	0	64	1024
2048	0.0016142057812500003	5.04300672001488e-9	0.00143753	0.00176218	0	0	64	1024
4096	0.0009482702812499996	9.164765304593257e-10	0.000879092	0.00100702	0	0	64	1024
8192	0.0005535550624999999	2.715772172341268e-10	0.000522593	0.000591607	0	0	64	1024
16384	0.000328649765625	6.897838030927584e-11	0.000310492	0.000347446	0	0	64	1024
32768	0.000195846828125	1.3261376589037701e-11	0.000188658	0.00020807	0	0	64	1024
65536	0.00011590301562500004	5.0571889680059504e-12	0.000112342	0.000121892	0	0	64	1024
