#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.271434	0	0.271434	0.271434	0	0	1	0
8	0.146182	0	0.146182	0.146182	0	0	1	0
16	0.0698984	0	0.0698984	0.0698984	0	0	1	0
32	0.0350321	0	0.0350321	0.0350321	0	0	1	0
64	0.0181216	0	0.0181216	0.0181216	0	0	1	0
128	0.00949253	0	0.00949253	0.00949253	0	0	1	0
256	0.00459477	0	0.00459477	0.00459477	0	0	1	0
512	0.00235045	0	0.00235045	0.00235045	0	0	1	0
1024	0.00117859	0	0.00117859	0.00117859	0	0	1	0
2048	0.000602695	0	0.000602695	0.000602695	0	0	1	0
4096	0.000307601	0	0.000307601	0.000307601	0	0	1	0
8192	0.000155001	0	0.000155001	0.000155001	0	0	1	0
16384	0.0000792697	0	0.0000792697	0.0000792697	0	0	1	0
32768	0.0000408593	0	0.0000408593	0.0000408593	0	0	1	0
65536	0.0000199467	0	0.0000199467	0.0000199467	0	0	1	0
131072	0.0000100986	0	0.0000100986	0.0000100986	0	0	1	0
262144	4.58559e-6	0	4.58559e-6	4.58559e-6	0	0	1	0
524288	2.22509e-6	0	2.22509e-6	2.22509e-6	0	0	1	0
1048576	3.19625e-6	0	3.19625e-6	3.19625e-6	0	0	1	0
