#Nbpts    #Mean    #Var    #Min    #Max    #Analytical    #MSE    #NbPtsets    #Nbintegrands
2    0.473346609375    0.012659542154591022    0.290695    0.837502    0    0    64    0
4    0.33496093750000006    0.008336314745138894    0.181771    0.580343    0    0    64    0
8    0.24283153125000012    0.005584598119713295    0.134848    0.438231    0    0    64    0
16    0.17290583437499996    0.0018688853532921326    0.0879314    0.302436    0    0    64    0
32    0.11070498437499997    0.0009074670877845136    0.0597511    0.190073    0    0    64    0
64    0.08141967343749999    0.0005918903186213467    0.0426648    0.152103    0    0    64    0
128    0.05578362031249999    0.00018560056941497772    0.0353487    0.0908612    0    0    64    0
256    0.04138700937499999    0.00015566949145292652    0.0194669    0.071046    0    0    64    0
512    0.029039117187499998    0.00007944939450144593    0.0159303    0.0564799    0    0    64    0
1024    0.021275528125    0.00003067013333951389    0.0120527    0.0340143    0    0    64    0
2048    0.014981437656249997    0.000021659449771627762    0.00808582    0.0307979    0    0    64    0
4096    0.010418791562499998    0.000010264324896308632    0.0054866    0.0204764    0    0    64    0
8192    0.007244334375000002    5.6678444807964276e-6    0.00374496    0.0154055    0    0    64    0
16384    0.005281665312500001    3.268638128850695e-6    0.00270697    0.011683    0    0    64    0
32768    0.0037791890624999996    1.2618551697768847e-6    0.00193174    0.00699169    0    0    64    0
65536    0.0027167678125    5.000288138935518e-7    0.00130662    0.00490227    0    0    64    0
131072    0.00182011621875    2.3802736117093551e-7    0.000936648    0.00318357    0    0    64    0
262144    0.0013373616406250001    1.7469867732626575e-7    0.000692444    0.0027271    0    0    64    0
524288    0.0009571088906249997    6.813062061876562e-8    0.000480234    0.00182821    0    0    64    0
1048576	0.00065144228125	2.9111552423443452e-8	0.000365648	0.00108168	0	0	64	0
