#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	2.502667470703125	0.05096121165234513	2.15135	3.74862	0	0	1024	0
8	1.60860353515625	0.008916995422681085	1.46578	2.2153	0	0	1024	0
16	1.0121679824218748	0.0011482366201091719	0.944475	1.20279	0	0	1024	0
32	0.6709494453125	0.0002584591014412304	0.639317	0.747299	0	0	512	0
64	0.44400590625	0.000059023996226470594	0.425658	0.470001	0	0	256	0
128	0.26825987500000004	0.000014099033401574785	0.258056	0.281613	0	0	128	0
256	0.19205257812500004	2.2066416763392843e-6	0.188284	0.195465	0	0	64	0
512	0.11188162500000003	5.289315967741939e-7	0.110894	0.11432	0	0	32	0
1024	0.07029401874999999	1.229724522916659e-7	0.0698424	0.0708193	0	0	16	0
2048	0.044070793750000004	2.6011044624999752e-8	0.0437029	0.0442956	0	0	16	0
4096	0.026967462499999997	1.1028581166666601e-8	0.0267587	0.0271714	0	0	16	0
8192	0.016292599999999997	1.017935999999977e-9	0.0162434	0.0163502	0	0	16	0
16384	0.009788675625000002	1.2847714624999732e-10	0.00976343	0.00981605	0	0	16	0
32768	0.005658528125	2.858216291666753e-11	0.00564613	0.0056689	0	0	16	0
65536	0.003622075625	8.461346249999894e-12	0.00361794	0.00362878	0	0	16	0
131072	0.002441358125	2.617402916666784e-12	0.00243802	0.00244405	0	0	16	0
262144	0.001291604375	3.9295958333331853e-13	0.00129083	0.00129285	0	0	16	0
