#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.18573428124999994	0.00022189984369742059	0.14389	0.220755	0	0	64	0
8	0.09527037500000003	0.00002003337727619047	0.0854805	0.108291	0	0	64	0
16	0.0497996796875	3.69375540767609e-6	0.045837	0.0543794	0	0	64	0
32	0.025735429687500002	5.176940694221234e-7	0.0243946	0.0276207	0	0	64	0
64	0.0132512625	5.388527126984128e-8	0.0126917	0.0137453	0	0	64	0
128	0.006834580468749999	9.64666237596726e-9	0.00663674	0.00708633	0	0	64	0
256	0.0035034223437499998	1.1146700753720229e-9	0.00342123	0.00358601	0	0	64	0
512	0.0017972028124999997	1.1565567132936509e-10	0.00176912	0.00182778	0	0	64	0
1024	0.0009199677343749998	1.653893362673614e-11	0.000908997	0.00092792	0	0	64	0
2048	0.0004710702343750001	1.351071515625003e-12	0.000467792	0.000473487	0	0	64	0
4096	0.00024067421874999996	2.0436588789682535e-13	0.000239713	0.00024177	0	0	64	0
8192	0.00012293803125	2.7185840277777517e-14	0.00012256	0.000123301	0	0	64	0
16384	0.00006269443125	3.086190119047679e-15	0.0000625796	0.0000628147	0	0	64	0
32768	0.00003197315	5.197787301587312e-16	0.0000319234	0.0000320459	0	0	64	0
65536	0.000016283667187499994	6.934763640872866e-17	0.0000162661	0.0000163053	0	0	64	0
131072	8.289567968749999e-6	7.18538152281724e-18	8.2818e-6	8.29488e-6	0	0	64	0
