#Nbpts    #Mean    #Var    #Min    #Max    #Analytical    #MSE    #NbPtsets    #Nbintegrands
4    0.49175309375000004    0.012056350864530751    0.306939    0.810227    0    0    64    0
16    0.24225270312499994    0.0021898893887199898    0.128282    0.355273    0    0    64    0
64    0.12356420312499997    0.0006465615895231648    0.0801125    0.201868    0    0    64    0
256    0.06196902343750002    0.0001664235138986483    0.0376735    0.100946    0    0    64    0
1024    0.029393045312499998    0.0000419439588926761    0.0181166    0.0456343    0    0    64    0
4096    0.015333832500000002    0.000010057820829377779    0.00930008    0.0228647    0    0    64    0
16384    0.007756819531250002    2.4809413874426337e-6    0.00528982    0.011428    0    0    64    0
65536    0.003780699687500001    8.183444826824404e-7    0.00224323    0.00637067    0    0    64    0
262144    0.0018522454687500004    1.587444745045387e-7    0.00120468    0.00277705    0    0    64    0
1048576	0.000909877375	4.8391525991183335e-8	0.0006277	0.00144289	0	0	16	0
