#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.43458568750000004	0.001177762218229167	0.390731	0.505333	0	0	16	0
8	0.2933855625	0.0016581652130625002	0.232402	0.393386	0	0	16	0
16	0.19725299999999996	0.00023069048533333334	0.175001	0.227756	0	0	16	0
32	0.125255	0.00006017182826666665	0.111923	0.141474	0	0	16	0
64	0.08544444374999999	0.00002124667395595835	0.0772445	0.0939698	0	0	16	0
128	0.058842662500000004	2.856637299833334e-6	0.0558785	0.0622018	0	0	16	0
256	0.03931323125	2.381162856958334e-6	0.0361756	0.0425071	0	0	16	0
512	0.0248543125	5.598464931666661e-7	0.023647	0.0265222	0	0	16	0
1024	0.0161478875	3.671120931666669e-7	0.0152978	0.0179197	0	0	16	0
2048	0.010180065625	7.256338519958339e-8	0.00973266	0.0105356	0	0	16	0
4096	0.00637279125	2.3828081584999982e-8	0.00612498	0.00662876	0	0	16	0
8192	0.004145175625	1.1745166706249977e-8	0.00390823	0.00432613	0	0	16	0
16384	0.002627770625	7.512023446249995e-9	0.00251903	0.00280403	0	0	16	0
32768	0.001642991875	8.546066429166658e-10	0.00160061	0.00169737	0	0	16	0
65536	0.001066986875	9.746954629166668e-10	0.00101255	0.00111222	0	0	16	0
