#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.752002	0	0.752002	0.752002	0	0	1	0
8	0.434641	0	0.434641	0.434641	0	0	1	0
16	0.193634	0	0.193634	0.193634	0	0	1	0
32	0.107872	0	0.107872	0.107872	0	0	1	0
64	0.0596028	0	0.0596028	0.0596028	0	0	1	0
128	0.0268062	0	0.0268062	0.0268062	0	0	1	0
256	0.0162396	0	0.0162396	0.0162396	0	0	1	0
512	0.00885747	0	0.00885747	0.00885747	0	0	1	0
1024	0.00489165	0	0.00489165	0.00489165	0	0	1	0
2048	0.00247171	0	0.00247171	0.00247171	0	0	1	0
4096	0.00144841	0	0.00144841	0.00144841	0	0	1	0
8192	0.000809989	0	0.000809989	0.000809989	0	0	1	0
16384	0.000404265	0	0.000404265	0.000404265	0	0	1	0
32768	0.000217358	0	0.000217358	0.000217358	0	0	1	0
65536	0.000110598	0	0.000110598	0.000110598	0	0	1	0
131072	0.0000536858	0	0.0000536858	0.0000536858	0	0	1	0
262144	0.0000276949	0	0.0000276949	0.0000276949	0	0	1	0
