#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.7102773749999999	0.021276580771849997	0.515429	0.997355	0	0	16	0
16	0.3512393749999999	0.009159807843316665	0.238556	0.54115	0	0	16	0
64	0.1611583125	0.0005862862606291666	0.12282	0.202913	0	0	16	0
256	0.08372222500000001	0.0005269368115993335	0.0556877	0.152264	0	0	16	0
1024	0.03969212500000001	0.00003739432613266668	0.0319554	0.0519866	0	0	16	0
4096	0.020371975	0.000020534697255333335	0.0144966	0.0320541	0	0	16	0
16384	0.010073920625	6.290241016206251e-6	0.00626181	0.0155984	0	0	16	0
65536	0.005243710625	1.2249801534329169e-6	0.00383084	0.00733501	0	0	16	0
262144	0.002562504999999999	1.7995650130666668e-7	0.00187787	0.00336622	0	0	16	0
524288	0.0018493081250000002	1.2145410578958332e-7	0.00121605	0.00270173	0	0	16	0
