#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	2.55904	0	2.55904	2.55904	0	0	1	0
8	1.39374	0	1.39374	1.39374	0	0	1	0
16	0.719681	0	0.719681	0.719681	0	0	1	0
32	0.338858	0	0.338858	0.338858	0	0	1	0
64	0.179674	0	0.179674	0.179674	0	0	1	0
128	0.0952061	0	0.0952061	0.0952061	0	0	1	0
256	0.0561584	0	0.0561584	0.0561584	0	0	1	0
512	0.0319913	0	0.0319913	0.0319913	0	0	1	0
1024	0.0178719	0	0.0178719	0.0178719	0	0	1	0
2048	0.0100816	0	0.0100816	0.0100816	0	0	1	0
4096	0.00564833	0	0.00564833	0.00564833	0	0	1	0
8192	0.00307419	0	0.00307419	0.00307419	0	0	1	0
16384	0.00174718	0	0.00174718	0.00174718	0	0	1	0
32768	0.00100638	0	0.00100638	0.00100638	0	0	1	0
65536	0.000566345	0	0.000566345	0.000566345	0	0	1	0
131072	0.000304702	0	0.000304702	0.000304702	0	0	1	0
262144	0.000176927	0	0.000176927	0.000176927	0	0	1	0
524288	0.000100374	0	0.000100374	0.000100374	0	0	1	0
1048576	0.0000508299	0	0.0000508299	0.0000508299	0	0	1	0
