#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	2.5161685156250004	0.04954932487032624	2.23508	3.47303	0	0	1024	0
8	1.322565966796875	0.014487209914606914	1.09948	1.77544	0	0	1024	0
16	0.7651693603515625	0.0037885432170244675	0.638085	0.996942	0	0	1024	0
32	0.43184218359375004	0.0005847747770973429	0.386538	0.513572	0	0	512	0
64	0.24656346875000001	0.00008628997200686273	0.225038	0.273085	0	0	256	0
128	0.1329736796875	5.789731621001481e-6	0.127521	0.140275	0	0	128	0
256	0.08245376874999998	1.2098614691666657e-6	0.080706	0.0852621	0	0	64	0
512	0.04782564687499999	1.8896173869959646e-7	0.0471274	0.0494581	0	0	32	0
1024	0.026236425000000004	3.569511933333339e-8	0.0258859	0.0265861	0	0	16	0
2048	0.015851474999999997	8.667053571428599e-9	0.0157061	0.0159897	0	0	8	0
4096	0.008991175	1.094630999999918e-10	0.00897727	0.009001	0	0	4	0
8192	0.005251342500000001	1.489109166666599e-11	0.00524594	0.00525462	0	0	4	0
16384	0.002955055	5.145433333333631e-12	0.00295175	0.00295683	0	0	4	0
32768	0.0017502725	6.012224999999702e-12	0.00174777	0.00175334	0	0	4	0
65536	0.0010574375	7.126916666666955e-13	0.00105621	0.00105814	0	0	4	0
131072	0.00061352125	2.4158491666665407e-13	0.000612904	0.000613977	0	0	4	0
262144	0.00038520625	4.2956916666662616e-14	0.000385039	0.000385489	0	0	4	0
