#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	1.9805522265624997	0.036397258201880216	1.7167	3.05161	0	0	1024	0
8	1.2958950000000002	0.007002213905962849	1.17082	1.67046	0	0	1024	0
16	0.8528527343750001	0.0015802613711747308	0.787154	1.05908	0	0	1024	0
32	0.55461449609375	0.0001872385667162273	0.523491	0.643091	0	0	512	0
64	0.30185977343750003	0.000015704567877879907	0.293865	0.316543	0	0	256	0
128	0.19292853906250002	4.812362140194389e-6	0.188408	0.200579	0	0	128	0
256	0.13410432812500003	1.2054351763392854e-6	0.131838	0.136724	0	0	64	0
512	0.07683833125	1.3977099383064558e-7	0.0759039	0.0773738	0	0	32	0
1024	0.04646505	1.0548484666666655e-7	0.0456072	0.046901	0	0	16	0
2048	0.029176312500000003	9.97973553571432e-9	0.0290445	0.0293143	0	0	8	0
4096	0.017826325	3.7883825000000125e-9	0.017762	0.017908	0	0	4	0
8192	0.010571375	6.021625000000123e-10	0.0105498	0.0106029	0	0	4	0
16384	0.006410195	2.432090999999963e-10	0.00639627	0.00643092	0	0	4	0
32768	0.0035554400000000004	1.6948933333333568e-11	0.00355131	0.00355909	0	0	4	0
65536	0.0024356275	4.496462500000175e-11	0.00243102	0.00244558	0	0	4	0
131072	0.0018787475	1.6634250000000675e-12	0.0018773	0.00188017	0	0	4	0
262144	0.0011431125000000001	7.369583333333974e-13	0.00114223	0.00114419	0	0	4	0
