#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	4.537835	0.20161295561290324	3.99175	6.87367	0	0	1024	0
8	2.32908396484375	0.04678008277898606	1.95368	3.14051	0	0	1024	0
16	1.3445108398437502	0.010324287311903945	1.12926	1.76016	0	0	1024	0
32	0.76903861328125	0.0013844402330634633	0.689857	0.903046	0	0	512	0
64	0.45181822265625005	0.00022689086417375913	0.422133	0.510107	0	0	256	0
128	0.2583217578125	0.000016512872925135324	0.251016	0.273636	0	0	128	0
256	0.16837159375000008	4.3117456418650794e-6	0.164615	0.174005	0	0	64	0
512	0.09966113124999999	3.92282602217741e-7	0.0986473	0.101017	0	0	32	0
1024	0.056944225	9.898981266666616e-8	0.0565625	0.057793	0	0	16	0
2048	0.0344039375	5.1573741071430764e-9	0.0343287	0.0345183	0	0	8	0
4096	0.0206117	2.097000000000038e-9	0.0205458	0.0206514	0	0	4	0
8192	0.0125863	7.547266666666836e-10	0.012555	0.0126215	0	0	4	0
16384	0.007937064999999998	8.994070000000848e-11	0.00792858	0.00794856	0	0	4	0
32768	0.00464487	1.8301666666666185e-11	0.00464031	0.00464955	0	0	4	0
65536	0.0028112274999999996	1.7294249999999152e-12	0.00280986	0.00281266	0	0	4	0
131072	0.0019442725	3.0576916666665716e-12	0.0019423	0.00194575	0	0	4	0
262144	0.000945729	4.232733333334417e-14	0.000945536	0.000946015	0	0	4	0
