#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.424407	0	0.424407	0.424407	0	0	1	0
8	0.151109	0	0.151109	0.151109	0	0	1	0
16	0.189139	0	0.189139	0.189139	0	0	1	0
32	0.0394858	0	0.0394858	0.0394858	0	0	1	0
64	0.090679	0	0.090679	0.090679	0	0	1	0
128	0.0268749	0	0.0268749	0.0268749	0	0	1	0
256	0.0446193	0	0.0446193	0.0446193	0	0	1	0
512	0.0068321	0	0.0068321	0.0068321	0	0	1	0
1024	0.0048023	0	0.0048023	0.0048023	0	0	1	0
2048	0.00233791	0	0.00233791	0.00233791	0	0	1	0
4096	0.00148386	0	0.00148386	0.00148386	0	0	1	0
8192	0.00121577	0	0.00121577	0.00121577	0	0	1	0
16384	0.000962034	0	0.000962034	0.000962034	0	0	1	0
32768	0.000551486	0	0.000551486	0.000551486	0	0	1	0
65536	0.000402044	0	0.000402044	0.000402044	0	0	1	0
131072	0.00027836	0	0.00027836	0.00027836	0	0	1	0
