#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.575317375	0.008841034865183336	0.460939	0.77644	0	0	16	0
8	0.3496673125	0.0025914331171625	0.284929	0.493527	0	0	16	0
16	0.2525153124999999	0.0007616694230291668	0.221271	0.31595	0	0	16	0
32	0.16313037499999997	0.00050723842425	0.11555	0.191526	0	0	16	0
64	0.10528722499999998	0.0004282040798460001	0.0824128	0.159478	0	0	16	0
128	0.06850129375000001	0.00008085224044462498	0.0538375	0.086966	0	0	16	0
256	0.0469071	0.00005872483936933332	0.034853	0.0626181	0	0	16	0
512	0.030108487499999996	0.000014729556338499992	0.0239585	0.0360268	0	0	16	0
1024	0.0193537875	3.2598866531666653e-6	0.0168605	0.0228913	0	0	16	0
2048	0.013091443749999999	1.423018721291667e-6	0.0105767	0.014758	0	0	16	0
4096	0.008984055000000001	2.53951985228e-6	0.0071093	0.0126045	0	0	16	0
8192	0.0060632874999999985	5.274152107e-7	0.00515489	0.00769025	0	0	16	0
16384	0.003880705000000001	2.3853778442666677e-7	0.00327873	0.00509897	0	0	16	0
32768	0.002815529375	2.183432786329166e-7	0.00204227	0.00383916	0	0	16	0
65536	0.0017458868749999999	7.706234772958333e-8	0.00140723	0.00220012	0	0	16	0
131072	0.0012201476874999998	2.2590448686895833e-8	0.000936283	0.00157993	0	0	16	0
