#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
16	0.14074601562500003	7.630655888640866e-6	0.134834	0.149032	0	0	64	0
81	0.0573230109375	1.962905422594245e-7	0.0564433	0.0583368	0	0	64	0
256	0.0203881703125	1.2697360887896825e-9	0.0203128	0.0204697	0	0	64	0
625	0.014467764062500004	2.512331324404744e-10	0.0144397	0.0145099	0	0	64	0
1296	0.009911483125	1.530514563492072e-11	0.00990378	0.00992121	0	0	64	0
2401	0.00636101875	3.2592619047616324e-12	0.00635683	0.00636496	0	0	64	0
4096	0.005226681718749999	1.3066112847221336e-12	0.00522462	0.00522969	0	0	64	0
6561	0.004200700781249999	2.337152529761908e-13	0.00419967	0.00420192	0	0	64	0
10000	0.00223953453125	3.130453869048437e-14	0.00223905	0.00223992	0	0	64	0
14641	0.0023337689062500003	1.5451165674597734e-14	0.0023334	0.00233403	0	0	64	0
20736	0.0016874573437499999	3.426165674603535e-15	0.00168733	0.00168759	0	0	64	0
28561	0.0011088418749999997	1.8027777777794474e-15	0.00110875	0.00110892	0	0	64	0
38416	0.0011427192187500003	1.3787450396827997e-15	0.00114263	0.0011428	0	0	64	0
50625	0.0008312921562499999	4.713720238096723e-16	0.000831216	0.000831346	0	0	64	0
65536	0.0007972041718750003	2.0849379960308443e-16	0.000797168	0.000797237	0	0	64	0
83521	0.000711073484375	8.130133928579413e-17	0.00071105	0.000711092	0	0	64	0
104976	0.0005195879999999999	3.4793650793655377e-17	0.000519578	0.0005196	0	0	64	0
