#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.6210826240234375	0.001477469552440126	0.541975	0.829397	0	0	1024	0
8	0.3848022197265625	0.00027731233294776294	0.348667	0.506735	0	0	1024	0
16	0.21288054687500002	0.00003782083923338223	0.194493	0.248134	0	0	1024	0
32	0.131798087890625	0.000010136344690890257	0.123671	0.146904	0	0	512	0
64	0.07628804140625	1.3527183760827197e-6	0.0739077	0.0797845	0	0	256	0
128	0.03716466015625	1.1894534430548718e-7	0.0364555	0.0383038	0	0	128	0
256	0.0249273546875	6.066871680307542e-8	0.0243411	0.0256711	0	0	64	0
512	0.014832274999999999	9.254839999999975e-9	0.0145786	0.0151025	0	0	32	0
1024	0.008528100625	6.912193032916686e-9	0.00835646	0.0087025	0	0	16	0
2048	0.0044296662499999995	1.2140816964285985e-10	0.00441542	0.00444937	0	0	8	0
4096	0.0024728275	2.0236624999999256e-11	0.00246808	0.00247835	0	0	4	0
8192	0.0012249225	8.286249999999606e-13	0.00122435	0.00122628	0	0	4	0
16384	0.000691393	2.802966666666554e-13	0.000690795	0.000691924	0	0	4	0
32768	0.0004253275	3.3425966666666706e-13	0.000424677	0.000426037	0	0	4	0
65536	0.00021149949999999998	4.886566666666656e-14	0.000211188	0.000211682	0	0	4	0
131072	0.000123053	3.865333333333461e-15	0.000122988	0.000123112	0	0	4	0
262144	0.00006513765	5.33030000000137e-16	0.0000651239	0.0000651722	0	0	4	0
