#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	1.16594	0	1.16594	1.16594	0	0	1	0
8	0.642055	0	0.642055	0.642055	0	0	1	0
16	0.294433	0	0.294433	0.294433	0	0	1	0
32	0.151272	0	0.151272	0.151272	0	0	1	0
64	0.0829891	0	0.0829891	0.0829891	0	0	1	0
128	0.0415353	0	0.0415353	0.0415353	0	0	1	0
256	0.0230406	0	0.0230406	0.0230406	0	0	1	0
512	0.0120811	0	0.0120811	0.0120811	0	0	1	0
1024	0.00676882	0	0.00676882	0.00676882	0	0	1	0
2048	0.00360654	0	0.00360654	0.00360654	0	0	1	0
4096	0.0019586	0	0.0019586	0.0019586	0	0	1	0
8192	0.0011208	0	0.0011208	0.0011208	0	0	1	0
16384	0.000547498	0	0.000547498	0.000547498	0	0	1	0
32768	0.000292385	0	0.000292385	0.000292385	0	0	1	0
65536	0.000155755	0	0.000155755	0.000155755	0	0	1	0
131072	0.0000846851	0	0.0000846851	0.0000846851	0	0	1	0
262144	0.0000434889	0	0.0000434889	0.0000434889	0	0	1	0
524288	0.0000237647	0	0.0000237647	0.0000237647	0	0	1	0
1048576	0.0000126515	0	0.0000126515	0.0000126515	0	0	1	0
