#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	1.16594	0	1.16594	1.16594	0	0	1	0
8	0.618103	0	0.618103	0.618103	0	0	1	0
16	0.29191	0	0.29191	0.29191	0	0	1	0
32	0.169491	0	0.169491	0.169491	0	0	1	0
64	0.0886172	0	0.0886172	0.0886172	0	0	1	0
128	0.0428642	0	0.0428642	0.0428642	0	0	1	0
256	0.0272337	0	0.0272337	0.0272337	0	0	1	0
512	0.0156122	0	0.0156122	0.0156122	0	0	1	0
1024	0.00880394	0	0.00880394	0.00880394	0	0	1	0
2048	0.00458603	0	0.00458603	0.00458603	0	0	1	0
4096	0.00257043	0	0.00257043	0.00257043	0	0	1	0
8192	0.00126131	0	0.00126131	0.00126131	0	0	1	0
16384	0.000707375	0	0.000707375	0.000707375	0	0	1	0
32768	0.000432889	0	0.000432889	0.000432889	0	0	1	0
65536	0.000214584	0	0.000214584	0.000214584	0	0	1	0
131072	0.000124395	0	0.000124395	0.000124395	0	0	1	0
262144	0.0000657242	0	0.0000657242	0.0000657242	0	0	1	0
