#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
1	1.8777700000000002	0.11093414586666667	1.47504	2.62138	0	0	16	0
32	0.23204906250000001	0.0005308773020624998	0.206925	0.280953	0	0	16	0
243	0.069589325	0.000022219696225999987	0.0611514	0.0774083	0	0	16	0
1024	0.031605112500000004	2.0477295145000006e-6	0.0285361	0.0339418	0	0	16	0
3125	0.016431368749999998	1.7673556209583332e-6	0.0143855	0.0200601	0	0	16	0
7776	0.009334406875	4.647324723295836e-7	0.00820681	0.0112294	0	0	16	0
16807	0.005975055	1.207280922266667e-7	0.00538081	0.00691702	0	0	16	0
32768	0.004035250625	3.375832005958336e-8	0.0036079	0.00425254	0	0	16	0
59049	0.002792159375	1.0788346006250008e-8	0.00264215	0.00300255	0	0	16	0
100000	0.0020631325000000002	7.443817193333331e-9	0.00192349	0.00225092	0	0	16	0
