#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.89956825	0.015561266172866663	0.764267	1.18953	0	0	16	0
16	0.4379665625	0.0084978740374625	0.35471	0.696536	0	0	16	0
64	0.2283929375	0.0006712566297958331	0.196237	0.28284	0	0	16	0
256	0.11607586875	0.0006629787042422917	0.0906373	0.180874	0	0	16	0
1024	0.05386028125	0.00004559593151895833	0.0452593	0.0674889	0	0	16	0
4096	0.0277763	0.000021327477799999995	0.0205788	0.0384259	0	0	16	0
16384	0.01386321875	8.864816289625004e-6	0.0110072	0.0229191	0	0	16	0
65536	0.0072161362500000005	1.5060286605716662e-6	0.00552248	0.0103425	0	0	16	0
262144	0.003943326875000001	6.293158081962499e-7	0.00309452	0.00559427	0	0	16	0
1048576	0.001757318125	1.539055365895833e-7	0.0013813	0.00279594	0	0	16	0
