#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.8138521406249996	0.0034357541432656243	0.724871	1.0727	0	0	64	0
8	0.51467353125	0.000699919597014881	0.466794	0.593633	0	0	64	0
16	0.33182406249999996	0.00035075739091666676	0.289561	0.386083	0	0	64	0
32	0.219420671875	0.00020668262400173605	0.190889	0.254029	0	0	64	0
64	0.14880896875000002	0.0001107786487609127	0.130924	0.173184	0	0	64	0
128	0.10266956718750002	0.00004584673445589037	0.0891411	0.121651	0	0	64	0
256	0.07264137500000001	0.000024150705409206346	0.0623405	0.0823548	0	0	64	0
512	0.050770871874999984	0.00001575561049284722	0.0431227	0.0666659	0	0	64	0
1024	0.03547356249999999	6.370081880158731e-6	0.029952	0.0413607	0	0	64	0
2048	0.0252190296875	4.097108734501489e-6	0.0215331	0.0312058	0	0	64	0
4096	0.017759424999999992	1.6287446228571425e-6	0.014873	0.0206861	0	0	64	0
8192	0.012413776562500001	9.75976500235615e-7	0.0107171	0.0155329	0	0	64	0
16384	0.008900035468749996	3.88445768942634e-7	0.00762148	0.0105467	0	0	64	0
32768	0.006315539375000003	2.518986519011905e-7	0.0052984	0.00752721	0	0	64	0
65536	0.004379580156249999	9.707999136981649e-8	0.00387331	0.00513251	0	0	64	0
