#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	1.1219883583984376	0.00620722856453907	0.991978	1.53296	0	0	1024	0
8	0.6856823720703125	0.0007465642360070787	0.632817	0.863127	0	0	1024	0
16	0.43092349414062503	0.0001910424023909724	0.396597	0.49695	0	0	1024	0
32	0.26252642968749995	0.000027219436895242164	0.251416	0.291711	0	0	512	0
64	0.17373684375	0.000029458613889215678	0.1593	0.188315	0	0	256	0
128	0.084714590625	4.9630088636811e-7	0.0833577	0.0868271	0	0	128	0
256	0.06519209218750001	3.3357678327132845e-7	0.063807	0.0668647	0	0	64	0
512	0.03469089375000001	8.68755096370964e-8	0.0340653	0.0352674	0	0	32	0
1024	0.0197914625	4.9704798333333305e-9	0.0196635	0.0199319	0	0	16	0
2048	0.01197006875	1.3020249583333407e-9	0.0119069	0.0120619	0	0	16	0
4096	0.00673541	6.79739386666672e-10	0.00667732	0.00677211	0	0	16	0
8192	0.004073215625	8.375795958333226e-11	0.00405841	0.00409295	0	0	16	0
16384	0.0023043118749999994	5.5902162499997446e-12	0.00230099	0.0023093	0	0	16	0
32768	0.0013292525000000001	3.178086666666711e-12	0.00132461	0.00133074	0	0	16	0
65536	0.0008671179375	4.655967291666721e-13	0.00086557	0.00086802	0	0	16	0
131072	0.0004962355	2.875910666666734e-13	0.000495598	0.000497976	0	0	16	0
262144	0.0002883965	2.800093333333459e-14	0.000288022	0.000288649	0	0	16	0
