#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.04787756334042795994	0.003975092377127984027	0.001891598965724553254	0.2083990827620722519	0	0	1024	16384
8	0.011789465317959139627	0.0002200841359109837994	0.001891598965724553254	0.04264534086389955986	0	0	1024	16384
16	0.0023474385701458680428	7.912496251089581798e-6	0.0003612844402686077772	0.01123441349118072668	0	0	1024	16384
32	0.0008440130097227007692	9.60513916041647341e-7	0.0001498792029965767482	0.00558644372845234355	0	0	1024	16384
64	0.0003279610108770093006	1.739799038710408535e-7	0.00001144119663258722285	0.002525814677540548329	0	0	1024	16384
128	0.00010229063166187118949	2.230571207021224592e-8	0.00001144119663258722285	0.001801576649472586868	0	0	1024	16384
256	0.00003435409095202350209	2.044013013395610088e-9	2.743310360833423194e-7	0.0002607826499000771522	0	0	1024	16384
512	0.000011624620875529094407	2.601415834649758991e-10	2.743310360833423194e-7	0.0001253276622005998844	0	0	1024	16384
1024	4.254688539648015907e-6	4.337603639097363054e-11	2.050244859905212111e-7	0.00008541195401171973315	0	0	1024	16384
2048	1.390637209205912675e-6	3.787015632587327066e-12	1.259181935366978705e-9	0.00001498282204406412448	0	0	1024	16384
4096	4.809290714566923364e-7	4.29580807210194956e-13	1.259181935366978705e-9	4.67329567103302568e-6	0	0	1024	16384
8192	1.7545861280733262976e-7	6.70720005127090035e-14	1.259181935366978705e-9	3.04317323859193209e-6	0	0	1024	16384
16384	5.648903414386190513e-8	5.772097391167031824e-15	6.528128530275711234e-10	5.745216704250012249e-7	0	0	1024	16384
32768	2.090824976000283286e-8	9.06788186285088689e-16	2.467481958177364454e-11	2.640227616835764609e-7	0	0	1024	16384
65536	7.5467258071762295e-9	1.095356244273179307e-16	2.467481958177364454e-11	6.988979943549392773e-8	0	0	1024	16384
