#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.001891598965724553254	0.	0.001891598965724553254	0.001891598965724553254	0	0	32	16384
8	0.001891598965724553254	0.	0.001891598965724553254	0.001891598965724553254	0	0	32	16384
16	0.0003612844402686077772	0.e-6	0.0003612844402686077772	0.0003612844402686077772	0	0	32	16384
32	0.0001498792029965767482	0.e-7	0.0001498792029965767482	0.0001498792029965767482	0	0	32	16384
64	0.00001144119663258722285	0.e-9	0.00001144119663258722285	0.00001144119663258722285	0	0	32	16384
128	0.0003612844402686077772	0.e-6	0.0003612844402686077772	0.0003612844402686077772	0	0	32	16384
256	0.00005312564035409034761	0.e-8	0.00005312564035409034761	0.00005312564035409034761	0	0	32	16384
512	2.043066568710244572e-6	0.e-11	2.043066568710244572e-6	2.043066568710244572e-6	0	0	32	16384
1024	5.788457284242406629e-6	0.e-10	5.788457284242406629e-6	5.788457284242406629e-6	0	0	32	16384
2048	2.050244859905212111e-7	0.e-13	2.050244859905212111e-7	2.050244859905212111e-7	0	0	32	16384
4096	2.050244859905212111e-7	0.e-13	2.050244859905212111e-7	2.050244859905212111e-7	0	0	32	16384
8192	3.304716179735467509e-7	0.e-12	3.304716179735467509e-7	3.304716179735467509e-7	0	0	32	16384
16384	2.179181647912010209e-8	0.e-15	2.179181647912010209e-8	2.179181647912010209e-8	0	0	32	16384
32768	4.353718918755354777e-8	0.e-14	4.353718918755354777e-8	4.353718918755354777e-8	0	0	32	16384
65536	3.1435960357043224e-9	0.e-17	3.1435960357043224e-9	3.1435960357043224e-9	0	0	32	16384
