#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.001891598965724553254	0.	0.001891598965724553254	0.001891598965724553254	0	0	2	16384
8	0.001891598965724553254	0.	0.001891598965724553254	0.001891598965724553254	0	0	2	16384
16	0.001891598965724553254	0.	0.001891598965724553254	0.001891598965724553254	0	0	2	16384
32	0.0001498792029965767482	0.e-7	0.0001498792029965767482	0.0001498792029965767482	0	0	2	16384
64	0.00001144119663258722285	0.e-9	0.00001144119663258722285	0.00001144119663258722285	0	0	2	16384
128	0.00001962504356458036515	0.e-9	0.00001962504356458036515	0.00001962504356458036515	0	0	2	16384
256	2.743310360833423194e-7	0.e-13	2.743310360833423194e-7	2.743310360833423194e-7	0	0	2	16384
512	2.043066568710244572e-6	0.e-11	2.043066568710244572e-6	2.043066568710244572e-6	0	0	2	16384
1024	2.043066568710244572e-6	0.e-11	2.043066568710244572e-6	2.043066568710244572e-6	0	0	2	16384
2048	3.677343347374580989e-6	0.e-10	3.677343347374580989e-6	3.677343347374580989e-6	0	0	2	16384
4096	1.404742113704097679e-6	0.e-11	1.404742113704097679e-6	1.404742113704097679e-6	0	0	2	16384
8192	7.497024367611697191e-9	0.e-16	7.497024367611697191e-9	7.497024367611697191e-9	0	0	2	16384
16384	7.497024367611697191e-9	0.e-16	7.497024367611697191e-9	7.497024367611697191e-9	0	0	2	16384
32768	4.356334200383120369e-9	0.e-16	4.356334200383120369e-9	4.356334200383120369e-9	0	0	2	16384
65536	4.0909773382049985e-10	0.e-18	4.0909773382049985e-10	4.0909773382049985e-10	0	0	2	16384
