#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.014022781291305354253	0.0007131738665442252909	0.001891598965724553254	0.2083990827620722519	0	0	1024	16384
9	0.007678459311263819762	0.0000894013346925761326	0.001587290709561087285	0.03326297692352903068	0	0	1024	16384
16	0.002671191039523292471	0.00001366921337228964838	0.0003612844402686077772	0.02073815538935656205	0	0	1024	16384
36	0.000887661885189376462	1.389383981241693355e-6	0.0001455169184056765352	0.009100467921501213114	0	0	1024	16384
64	0.0003458973226687052797	2.368723079939150869e-7	0.00001144119663258722285	0.003494880722088616887	0	0	1024	16384
121	0.0001242727504351163473	3.05763759678442236e-8	0.00001622595176541837456	0.001390855048576647999	0	0	1024	16384
256	0.0000465198473186957413	4.228978634884327447e-9	2.743310360833423194e-7	0.0005741422780820575229	0	0	1024	16384
529	0.000014989035912012818577	4.34467162266455155e-10	2.3701817684897325e-7	0.0001624520795716622975	0	0	1024	16384
1024	4.924360134672285315e-6	4.751490528845164222e-11	2.050244859905212111e-7	0.00004074449162570243651	0	0	1024	16384
2025	1.7179044913278313867e-6	5.74125997345419006e-12	2.53391862014646648e-8	0.0000143749749129072257	0	0	1024	16384
4096	7.346317506089016857e-7	1.044945464546942589e-12	1.259181935366978705e-9	7.022828187002270672e-6	0	0	1024	16384
8281	2.406196205522334952e-7	1.29823147806415043e-13	2.469621679132971239e-9	3.927646536281699153e-6	0	0	1024	16384
16384	8.277177831136166197e-8	1.276277644522699524e-14	6.528128530275711234e-10	1.02424004843439522e-6	0	0	1024	16384
