#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.05150938575410260711	0.004634679946662513956	0.001891598965724553254	0.4991528246602353613	0	0	1024	16384
8	0.02751651150969673411	0.001329168202406324831	0.001891598965724553254	0.33815095371117931	0	0	1024	16384
16	0.012728621837806300017	0.0003115576110854118714	0.0003612844402686077772	0.1552418972875370118	0	0	1024	16384
32	0.007184095036874018595	0.0000999348681636751289	0.0001498792029965767482	0.07236502633844560384	0	0	1024	16384
64	0.002897283109572964083	0.00001843796381481644342	0.00001144119663258722285	0.0493428403575381924	0	0	1024	16384
128	0.0014861261851839016269	3.972808045566299759e-6	0.00001144119663258722285	0.0147908202475442486	0	0	1024	16384
256	0.0008270168960144949542	1.30182549846698909e-6	2.743310360833423194e-7	0.009434719408448456746	0	0	1024	16384
512	0.00038695239340449287	2.5961873321438937e-7	2.743310360833423194e-7	0.004479627069020593842	0	0	1024	16384
1024	0.00019404703675227835	8.38501771180062638e-8	2.050244859905212111e-7	0.002624927499896794955	0	0	1024	16384
2048	0.00011151372424999369298	2.447601513704636605e-8	1.259181935366978705e-9	0.0009143337741954738179	0	0	1024	16384
4096	0.00004781791865171333913	4.23206924025756144e-9	1.259181935366978705e-9	0.0004526562329513961398	0	0	1024	16384
8192	0.00002634976139370168082	1.468791527722860803e-9	1.259181935366978705e-9	0.0003059539590178351727	0	0	1024	16384
16384	0.00001330185382220611226	3.489471802574073037e-10	6.528128530275711234e-10	0.0001451898714854349458	0	0	1024	16384
32768	6.747530022747650717e-6	8.89155405937823391e-11	2.467481958177364454e-11	0.00008391001175256372656	0	0	1024	16384
65536	3.254934292085553325e-6	2.036433200836958764e-11	2.467481958177364454e-11	0.0000343905114973482349	0	0	1024	16384
