#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.01529112937615481095	3.5505993350821242e-7	0.01494980249370576886	0.01631511002350193723	0	0	64	16384
8	0.007245155216231251401	0.0000566490591177807889	7.456258603674395721e-6	0.01494980249370576886	0	0	64	16384
16	0.001631108912991425285	3.47813457600885975e-6	7.456258603674395721e-6	0.004255033141052890801	0	0	64	16384
32	0.0004569230637311950095	1.876095564855512963e-7	7.456258603674395721e-6	0.001154682199828238349	0	0	64	16384
64	0.00015074771045474533989	4.072437877128892748e-8	7.456258603674395721e-6	0.0008133553173791098446	0	0	64	16384
128	0.00005423219781763023324	4.02777727940506385e-9	7.456258603674395721e-6	0.0001662651629913984488	0	0	64	16384
256	9.280173209459368017e-6	1.730887850055661791e-10	1.382117513106458882e-6	0.00004404797781924275121	0	0	64	16384
512	2.7814434961976560544e-6	1.0769785638177338359e-11	6.044907927654689116e-7	9.789138764697300833e-6	0	0	64	16384
1024	1.0584102850883793611e-6	2.014635897877173241e-12	3.96298365297144657e-8	4.631953822495589093e-6	0	0	64	16384
2048	2.0847037566345186483e-7	7.232976119801125557e-14	3.96298365297144657e-8	1.60217700818803699e-6	0	0	64	16384
4096	7.291186324183928656e-8	6.094413794362343743e-15	2.031141262482732468e-9	2.844616193803747471e-7	0	0	64	16384
8192	1.762391526832887937e-8	3.861368581833080186e-16	2.031141262482732468e-9	1.031326677448698526e-7	0	0	64	16384
16384	2.2286016505466874073e-9	7.74252770175364362e-18	2.54944183904662509e-10	1.12579189379842822e-8	0	0	64	16384
32768	1.5341619728969671547e-9	5.893556504900073991e-18	2.117201485782097705e-10	1.156048718526943075e-8	0	0	64	16384
65536	2.0362954696150091053e-10	5.984295903001356496e-20	5.015225875614632423e-13	9.750481325295067348e-10	0	0	64	16384
