#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.009400217829887216881	0.	0.009400217829887216881	0.009400217829887216881	0	0	2	16384
8	0.008216316319181118585	0.	0.008216316319181118585	0.008216316319181118585	0	0	2	16384
16	0.002218046780329349307	0.	0.002218046780329349307	0.002218046780329349307	0	0	2	16384
32	0.00006889970200360221342	0.e-8	0.00006889970200360221342	0.00006889970200360221342	0	0	2	16384
64	9.731077056394816122e-6	0.e-10	9.731077056394816122e-6	9.731077056394816122e-6	0	0	2	16384
128	1.725410424183811595e-6	0.e-11	1.725410424183811595e-6	1.725410424183811595e-6	0	0	2	16384
256	2.708097689546855606e-8	0.e-15	2.708097689546855606e-8	2.708097689546855606e-8	0	0	2	16384
512	5.989212531131858674e-9	0.e-16	5.989212531131858674e-9	5.989212531131858674e-9	0	0	2	16384
1024	7.897975651153414355e-9	0.e-16	7.897975651153414355e-9	7.897975651153414355e-9	0	0	2	16384
2048	1.310883318883244372e-9	0.e-17	1.310883318883244372e-9	1.310883318883244372e-9	0	0	2	16384
4096	2.748956653955273446e-10	0.e-19	2.748956653955273446e-10	2.748956653955273446e-10	0	0	2	16384
8192	1.052061812958364707e-10	0.e-19	1.052061812958364707e-10	1.052061812958364707e-10	0	0	2	16384
16384	2.20506092063733493e-11	0.e-21	2.20506092063733493e-11	2.20506092063733493e-11	0	0	2	16384
32768	5.446342835444626236e-12	0.e-22	5.446342835444626236e-12	5.446342835444626236e-12	0	0	2	16384
65536	1.398726253264837343e-12	0.e-23	1.398726253264837343e-12	1.398726253264837343e-12	0	0	2	16384
