#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.01872715914050268895	0.000792243003076534809	8.706117877129978253e-11	0.1981539895291458964	0	0	64	16384
8	0.01205833760512362138	0.000534219901467048268	1.488095173591020419e-7	0.1134710212449457217	0	0	64	16384
16	0.004940512962184583321	0.00006395376528770784612	5.802075103183848345e-9	0.0452729501407479612	0	0	64	16384
32	0.002896227098841601506	0.00001631973074271424001	7.705017793964438899e-6	0.0232802613214957467	0	0	64	16384
64	0.0009726942289501904024	1.747223911093503391e-6	0.0000137272958463073004	0.008479247314303094488	0	0	64	16384
128	0.0003929179083828412358	2.586468739031233357e-7	6.696930864207560274e-7	0.002518058243876737916	0	0	64	16384
256	0.0002725445712873217064	1.563473249436532589e-7	6.239505852844299016e-10	0.002036982459777116668	0	0	64	16384
512	0.0001472827353272037269	3.82421303890507102e-8	2.99437802991061696e-8	0.0009513102918377613383	0	0	64	16384
1024	0.00007041583867401557983	8.1067209225868017e-9	2.765284812768879476e-8	0.0004126022910953786819	0	0	64	16384
2048	0.00002741373784725873682	9.86229575108078189e-10	4.388819938589049378e-9	0.0001192619691927994028	0	0	64	16384
4096	0.000019838588410593732441	9.43971155516967165e-10	6.959942679576787312e-9	0.0001656969175763352059	0	0	64	16384
8192	8.558610817346557621e-6	2.046868624316165653e-10	1.090347758574458788e-10	0.0000882219921784109035	0	0	64	16384
16384	4.852654855991674494e-6	6.520411094547460098e-11	6.466243997846519471e-9	0.00003327741697291819581	0	0	64	16384
32768	2.24157862044483912e-6	8.86790485005608255e-12	1.34034157550238218e-9	0.00001322272299846813503	0	0	64	16384
65536	1.275255589725105306e-6	4.214297637379679967e-12	3.040393114631886122e-11	0.00001075599017014846766	0	0	64	16384
