#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.0003960045558472832252	0.e-6	0.0003960045558472832252	0.0003960045558472832252	0	0	2	16384
8	0.00003841514404135535152	0.e-8	0.00003841514404135535152	0.00003841514404135535152	0	0	2	16384
16	0.0002614991487553798653	0.e-7	0.0002614991487553798653	0.0002614991487553798653	0	0	2	16384
32	0.00001860032269252273894	0.e-9	0.00001860032269252273894	0.00001860032269252273894	0	0	2	16384
64	3.599535433087368173e-6	0.e-10	3.599535433087368173e-6	3.599535433087368173e-6	0	0	2	16384
128	5.196963821859094181e-6	0.e-10	5.196963821859094181e-6	5.196963821859094181e-6	0	0	2	16384
256	2.786554372983198793e-6	0.e-11	2.786554372983198793e-6	2.786554372983198793e-6	0	0	2	16384
512	4.116222330594580234e-8	0.e-14	4.116222330594580234e-8	4.116222330594580234e-8	0	0	2	16384
1024	2.337752685301061137e-8	0.e-15	2.337752685301061137e-8	2.337752685301061137e-8	0	0	2	16384
2048	4.329147425292587527e-9	0.e-16	4.329147425292587527e-9	4.329147425292587527e-9	0	0	2	16384
4096	1.030352653267599043e-9	0.e-17	1.030352653267599043e-9	1.030352653267599043e-9	0	0	2	16384
8192	3.18472750226981757e-10	0.e-18	3.18472750226981757e-10	3.18472750226981757e-10	0	0	2	16384
16384	7.350884816483077554e-11	0.e-20	7.350884816483077554e-11	7.350884816483077554e-11	0	0	2	16384
32768	1.755031257220035596e-11	0.e-21	1.755031257220035596e-11	1.755031257220035596e-11	0	0	2	16384
65536	3.16774208190001712e-12	0.e-22	3.16774208190001712e-12	3.16774208190001712e-12	0	0	2	16384
