#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.003387100386328119094	0.0001574378320607350176	3.936466126577385534e-8	0.2049472480854550305	0	0	1024	16384
8	0.0017229018435959993	0.00002082521531865097	2.02573152009605298e-9	0.0606745346736796976	0	0	1024	16384
16	0.0008335493402931839723	2.56700379443795857e-6	3.179730218340091585e-9	0.02283747785942491157	0	0	1024	16384
32	0.0004238649238722641	5.84086577123237e-7	1.770313835030720953e-9	0.009058715886258986508	0	0	1024	16384
64	0.000201452490008128078	9.00475475616947402e-8	2.502983318033208499e-10	0.003828694549893956866	0	0	1024	16384
128	0.0000983667187130681635	2.182481932570975166e-8	9.934048021194466079e-10	0.0023135786911441243	0	0	1024	16384
256	0.000050431121018876424	5.544535110315197e-9	9.214292077702735e-12	0.0005552192114753609024	0	0	1024	16384
512	0.00002644781322665005862	1.48308214761738777e-9	4.345458269484786189e-11	0.0004796911730096143646	0	0	1024	16384
1024	0.00001293246424449716681	3.43945620825196945e-10	1.663494889782751118e-12	0.0001295481026081304616	0	0	1024	16384
2048	6.11183143707381e-6	6.843774194859239e-11	1.328769643131699753e-10	0.00005993539239944507146	0	0	1024	16384
4096	3.1888281177148582e-6	2.038041599118484e-11	5.621764165767601121e-11	0.00004358652768064914129	0	0	1024	16384
8192	1.575115660860483827e-6	5.19438485896319283e-12	5.488162995233983652e-12	0.00002466203014088888147	0	0	1024	16384
16384	8.529074590331001e-7	1.6012478425550932e-12	1.326916564001764829e-13	0.00001354524037678867774	0	0	1024	16384
32768	3.9921321150547516e-7	3.1430178382413795e-13	9.453756614803612593e-14	5.871115921164836893e-6	0	0	1024	16384
65536	1.8360142615054869e-7	7.32333416300902e-14	9.61939686292396944e-13	2.839310985975745537e-6	0	0	1024	16384
