#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.0016633521551455499321	0.0000945846181299486578	0.00003350288479481503668	0.05963941905762169121	0	0	1024	16384
8	0.0008422037995080258032	0.0000161160920421153716	0.00003350288479481503668	0.05963941905762169121	0	0	1024	16384
16	0.0003734207191767386307	1.424421947944819858e-6	0.00003350288479481503668	0.01421146097120829649	0	0	1024	16384
32	0.00017795225352520278817	1.3991192419503031243e-7	0.00003350288479481503668	0.003216231928001578744	0	0	1024	16384
64	0.00008047475548436527022	1.5681784501666955957e-8	0.00003350288479481503668	0.0006483049063981974293	0	0	1024	16384
128	0.000036178570637535105885	2.620426724478485079e-9	4.097921445661818974e-6	0.0003114989322473559765	0	0	1024	16384
256	0.000018168732343497255323	4.971765931726554153e-10	3.541614057738413002e-6	0.0001888723123594314012	0	0	1024	16384
512	6.80791637104426046e-6	7.94583831051640664e-11	5.070486075115351911e-9	0.00006215284151192197769	0	0	1024	16384
1024	2.799426294382732316e-6	1.312104105809549896e-11	5.070486075115351911e-9	0.00002454231263113541625	0	0	1024	16384
2048	9.206964557956747574e-7	1.799218050164170957e-12	5.070486075115351911e-9	9.005369874673894314e-6	0	0	1024	16384
4096	2.87877301404952501e-7	1.660970192026189533e-13	5.070486075115351911e-9	3.16908256228572574e-6	0	0	1024	16384
16384	3.840897647414594967e-8	2.65609455412304311e-15	1.034734372747234117e-10	3.602152798896789447e-7	0	0	1024	16384
32768	1.399145861686581307e-8	4.139700019115528923e-16	1.034734372747234117e-10	1.739506416862583532e-7	0	0	1024	16384
65536	4.685060702476206252e-9	4.448703431739520874e-17	2.587349608391534267e-11	6.211420951088327668e-8	0	0	1024	16384
