#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.003240096517806879007	0.	0.003240096517806879007	0.003240096517806879007	0	0	1024	16384
8	0.003240096517806879007	0.	0.003240096517806879007	0.003240096517806879007	0	0	1024	16384
16	0.0009963170353058725827	2.167815723683001544e-6	0.00003111580540320501469	0.003240096517806879007	0	0	1024	16384
32	0.0005144387582429805523	5.233538459463918768e-7	0.00003111580540320501469	0.003240096517806879007	0	0	1024	16384
64	0.00014600631398265819355	3.197598235766741853e-8	0.00003111580540320501469	0.0006590436616050464628	0	0	1024	16384
128	0.0000473927144624004856	3.541916131112459355e-9	4.99230070366519546e-6	0.0003189562288045853723	0	0	1024	16384
256	0.000016591246650284811422	5.901305969283110519e-10	2.795263990935031808e-6	0.0001946888795918560739	0	0	1024	16384
512	6.350247153123590639e-6	7.091035431473711004e-11	7.90850816751050178e-8	0.00006550831475713554067	0	0	1024	16384
1024	2.23288824923004227e-6	1.012100446049847132e-11	7.90850816751050178e-8	0.0000266672388827438546	0	0	1024	16384
2048	8.0967469332640956e-7	1.362348203152836785e-12	4.28740716854004296e-8	0.00001368400258129056674	0	0	1024	16384
4096	2.997095811573444194e-7	1.763923659539006026e-13	1.374931904862104892e-9	4.99230070366519546e-6	0	0	1024	16384
8192	1.050232511278948532e-7	2.232733120718415936e-14	1.374931904862104892e-9	1.582018576263885171e-6	0	0	1024	16384
16384	3.468296460353077689e-8	2.441756259105819825e-15	5.73845954610905419e-10	4.191677242381825577e-7	0	0	1024	16384
32768	1.196993020556488721e-8	2.772973418940660457e-16	4.306635512102337594e-11	1.626436401417702352e-7	0	0	1024	16384
65536	4.761949530884898463e-9	4.452485251479826699e-17	4.306635512102337594e-11	5.543403349068370401e-8	0	0	1024	16384
