#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.028809099636891799484	0.0009855509645178326214	0.0001338754737448613348	0.06841910394254528682	0	0	1024	16384
9	0.00897575269736223978	0.000162843365537984911	0.001548283575216472452	0.08642723820940909074	0	0	1024	16384
16	0.00439032793466438987	0.0000342916341461940746	0.0001338754737448613348	0.03962904682534505729	0	0	1024	16384
36	0.001332188254751623681	2.95935662166566658e-6	0.0001338754737448613348	0.0162099831145350072	0	0	1024	16384
64	0.0004951056763104809949	4.16515158888459692e-7	0.00001643931944485419133	0.005486432590944929563	0	0	1024	16384
121	0.0001958089395817035514	8.43077821303337017e-8	8.365705759498526787e-6	0.003997191921946500678	0	0	1024	16384
256	0.00006203874722771725313	7.18769459818121403e-9	2.199083235590323087e-8	0.0007395928780448700638	0	0	1024	16384
529	0.00002057884430351815271	9.51873669794934182e-10	4.912492034574331839e-7	0.0004832706800953802395	0	0	1024	16384
1024	8.21974035998282831e-6	1.322207733742435155e-10	2.199083235590323087e-8	0.00009828577134797603651	0	0	1024	16384
2025	2.773221150667831053e-6	1.409917566105911553e-11	2.494445105312734216e-8	0.00002781677047027953869	0	0	1024	16384
4096	1.029335564727629107e-6	2.025372770071709299e-12	9.18675525640429076e-9	9.473964342510827658e-6	0	0	1024	16384
8281	3.290972964790728304e-7	2.296623510221086675e-13	6.152404753041832457e-11	4.246632405933892628e-6	0	0	1024	16384
16384	1.249524936529492527e-7	2.9467644252393503e-14	6.876326123060715771e-10	1.406336796579682512e-6	0	0	1024	16384
32761	4.264370528215174996e-8	3.38428757750644895e-15	8.938806559916331559e-11	4.796944076761425426e-7	0	0	1024	16384
65536	1.4488221380308689381e-8	4.107242558676742025e-16	1.844554948420158177e-11	1.732908141823683905e-7	0	0	1024	16384
