#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.01452424170662358614	0.000947402520969641887	0.003240096517806879007	0.196318250818578094	0	0	1024	16384
8	0.006852629698976114629	0.000145207579338301795	0.003240096517806879007	0.1011737122433844505	0	0	1024	16384
16	0.003589972547755775492	0.00003348823621091191484	0.00003111580540320501469	0.06532019295578808671	0	0	1024	16384
32	0.0016973409740730019881	8.47886601865491638e-6	0.00003111580540320501469	0.03727917366819238215	0	0	1024	16384
64	0.0008120612846372958762	1.629335709152252219e-6	0.00003111580540320501469	0.01705065438059584146	0	0	1024	16384
128	0.0004203339122393675379	3.602971331805997915e-7	4.99230070366519546e-6	0.005759391410199045727	0	0	1024	16384
256	0.0002101866623029153011	8.79432237893106215e-8	2.795263990935031808e-6	0.003176382453137701137	0	0	1024	16384
512	0.00010578522522183070116	2.461525784674744142e-8	7.90850816751050178e-8	0.001356312949201358715	0	0	1024	16384
1024	0.00005338759707506942786	5.799078526425728233e-9	7.90850816751050178e-8	0.0008748637451927725357	0	0	1024	16384
2048	0.00002861587205150655849	1.498903106779320553e-9	4.28740716854004296e-8	0.000285028368552182909	0	0	1024	16384
4096	0.000012922206351936951458	2.926680741400424849e-10	1.374931904862104892e-9	0.0001215155283268396793	0	0	1024	16384
8192	6.891429575534539329e-6	7.67725893785232646e-11	1.374931904862104892e-9	0.00007790079274062544569	0	0	1024	16384
16384	3.249771568666553036e-6	2.055061211079828378e-11	5.73845954610905419e-10	0.00004216790130038293764	0	0	1024	16384
32768	1.591268106053282212e-6	4.78543670987408229e-12	4.306635512102337594e-11	0.00001898738074922415461	0	0	1024	16384
65536	8.773718745243875e-7	1.6959100768783386e-12	4.306635512102337594e-11	0.00001728025925106009366	0	0	1024	16384
