#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.007817884357931443919	0.0002338356841901542014	0.001485997512494046518	0.04471167837734667944	0	0	1024	16384
8	0.003415672651850179745	7.83859555590797201e-6	0.001485997512494046518	0.007473837944920350834	0	0	1024	16384
16	0.0010237703079419522614	6.5252311735323579e-7	0.0005736677287071871838	0.007473837944920350834	0	0	1024	16384
32	0.0004696036547667374831	3.461641087365556886e-7	0.00005327012060061209425	0.003047190336813774322	0	0	1024	16384
64	0.00014415618651824812437	4.007686644592002343e-8	0.00005327012060061209425	0.00156628840776046655	0	0	1024	16384
128	0.00005049529379660078219	4.453928218187551405e-9	2.640538772556246641e-7	0.0005254931915473217644	0	0	1024	16384
256	0.00001886389439405315791	6.81178483595395754e-10	2.640538772556246641e-7	0.0002604628579305424594	0	0	1024	16384
512	6.85658042876222255e-6	1.033062855076498378e-10	2.640538772556246641e-7	0.00006932829965389937477	0	0	1024	16384
1024	2.445908523522736844e-6	1.27622374100641101e-11	2.140920028313990116e-7	0.000040618146412863668	0	0	1024	16384
2048	8.196768463709840253e-7	1.461651365957655034e-12	6.543609419483204861e-10	0.0000115082981764336671	0	0	1024	16384
4096	2.908495639013177903e-7	1.586430703041571015e-13	6.543609419483204861e-10	3.00871523517847194e-6	0	0	1024	16384
8192	1.0518196610401647249e-7	2.336991033222127603e-14	6.543609419483204861e-10	1.263855526370869894e-6	0	0	1024	16384
16384	3.741422684290899835e-8	2.861476648076220517e-15	6.543609419483204861e-10	5.74567569738633229e-7	0	0	1024	16384
32768	1.2913778457784809322e-8	3.490571518437147434e-16	2.437494080675821544e-11	1.86782311594074129e-7	0	0	1024	16384
65536	5.022417811092632236e-9	5.640681526859267358e-17	2.437494080675821544e-11	6.987379183130332416e-8	0	0	1024	16384
