#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.001485997512494046518	0.	0.001485997512494046518	0.001485997512494046518	0	0	1024	16384
8	0.002269562569081082435	4.081874534964565288e-6	0.001485997512494046518	0.007473837944920350834	0	0	1024	16384
16	0.0011670384669904374933	1.8944597014281491e-7	0.0005736677287071871838	0.001485997512494046518	0	0	1024	16384
32	0.0004608218380969714629	3.309697368427288238e-7	0.00005327012060061209425	0.001485997512494046518	0	0	1024	16384
64	0.00014251944485219042545	3.531007831244930196e-8	0.00005327012060061209425	0.001485997512494046518	0	0	1024	16384
128	0.00005221639996569123943	5.049891981421220148e-9	2.640538772556246641e-7	0.0005254931915473217644	0	0	1024	16384
256	0.00002016140253839554022	7.04374467257778519e-10	2.640538772556246641e-7	0.0002283464998239694433	0	0	1024	16384
512	7.12453128012481176e-6	9.34112568543238891e-11	2.640538772556246641e-7	0.00005327012060061209425	0	0	1024	16384
1024	2.334316126079016922e-6	1.17444706351842517e-11	2.140920028313990116e-7	0.00002857451212289786541	0	0	1024	16384
2048	8.440145887435290438e-7	1.382501114515496723e-12	6.543609419483204861e-10	8.733608831870866832e-6	0	0	1024	16384
4096	3.043644802526416639e-7	1.786811563420584784e-13	6.543609419483204861e-10	2.833848674693710284e-6	0	0	1024	16384
8192	1.0916054542203028395e-7	2.259302627786493913e-14	6.543609419483204861e-10	1.263855526370869894e-6	0	0	1024	16384
16384	3.738626949213627958e-8	2.458802951670760412e-15	6.543609419483204861e-10	3.419572192730003565e-7	0	0	1024	16384
32768	1.3817134939661317445e-8	3.42317075703170016e-16	2.437494080675821544e-11	1.305187868037485547e-7	0	0	1024	16384
65536	4.657663428188864106e-9	4.4448114266734579e-17	2.437494080675821544e-11	5.015124546187312209e-8	0	0	1024	16384
