#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.008704348516292679555	0.000260167615583741131	0.001485997512494046518	0.04471167837734667944	0	0	1024	16384
9	0.003165526252732450231	0.00001878820287374502614	0.001485997512494046518	0.03373598544174585129	0	0	1024	16384
16	0.0016369074007417430398	3.911664918204576271e-6	0.0005736677287071871838	0.02218650816113344054	0	0	1024	16384
36	0.000529542563402493857	4.11995718270629833e-7	0.0001160114357492631403	0.00200566891188935694	0	0	1024	16384
64	0.00019137236430208773191	7.479740069469856895e-8	0.00005327012060061209425	0.003047190336813774322	0	0	1024	16384
121	0.00008487409233157070284	1.357417109788653429e-8	7.693277328631001027e-6	0.000759943029105562373	0	0	1024	16384
256	0.00002406842319916264214	1.115397424097304076e-9	2.640538772556246641e-7	0.0002604628579305424594	0	0	1024	16384
529	8.893406555022687222e-6	1.630536928456524585e-10	5.497553768239927271e-7	0.0001123748426948671799	0	0	1024	16384
1024	3.264375972292089967e-6	2.11699551523217958e-11	2.140920028313990116e-7	0.000040618146412863668	0	0	1024	16384
2025	1.034592320430401087e-6	2.315618123988938096e-12	9.071994470644366745e-10	0.00001215854047799784622	0	0	1024	16384
4096	4.01030663349364749e-7	2.885881387142916906e-13	6.543609419483204861e-10	3.715427877718473509e-6	0	0	1024	16384
8281	1.3675591579250647e-7	3.584919510957312e-14	7.139919338886680291e-10	1.836194691060312772e-6	0	0	1024	16384
16384	4.797239167373248901e-8	4.21649798407860008e-15	6.543609419483204861e-10	4.85763275722496074e-7	0	0	1024	16384
32761	1.746190369448883633e-8	5.89869544584027377e-16	1.087999519772061915e-11	1.854472496336064885e-7	0	0	1024	16384
65536	6.095645609303990127e-9	6.78103934662821596e-17	2.437494080675821544e-11	6.475107008224672488e-8	0	0	1024	16384
