#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.00423815721738446615	0.000034270827629506929	0.0002309589733397541666	0.020235016043605475	0	0	1024	16384
8	0.002625905054046757215	9.83326995313417685e-6	3.422981788067394008e-8	0.0194013457978880824	0	0	1024	16384
16	0.0005033530429458196972	5.50778622651680524e-7	2.963177371662548831e-9	0.005649826473047777319	0	0	1024	16384
32	0.0001136769603106349912	2.426531334051510466e-8	7.531293861783131879e-11	0.0009759891345872402473	0	0	1024	16384
64	0.000020105092380833043	8.00596933177104e-10	1.449541373550787078e-10	0.0001898695833295118991	0	0	1024	16384
128	4.181754165844686417e-6	2.94095961562339745e-11	6.573134489730135526e-12	0.0000420985009276439312	0	0	1024	16384
256	7.498870514921767e-7	8.298439251922448e-13	3.76069628390976704e-13	6.59298701105251246e-6	0	0	1024	16384
512	1.4490037108953025e-7	3.0720454707843856e-14	2.12734890701115863e-12	1.415314284053086058e-6	0	0	1024	16384
1024	2.961719073485413e-8	8.988786513987251e-16	8.154432869346843891e-14	2.076025995823293121e-7	0	0	1024	16384
2048	6.18527736470124e-9	2.9638438887805603e-17	4.756232809907927967e-15	4.116981639955197758e-8	0	0	1024	16384
4096	1.4483776565637844e-9	9.3263123797051e-19	2.71142133465038938e-13	6.355417720862105147e-9	0	0	1024	16384
8192	3.4149684564400443e-10	3.131984963772389e-20	9.214390379255854039e-12	1.242547376963374195e-9	0	0	1024	16384
16384	8.25514415836088161e-11	1.11376802616099652e-21	9.347276479592462449e-12	2.120050818588526318e-10	0	0	1024	16384
32768	1.9773895441717633e-11	3.045871185513057e-23	5.93660711574262154e-12	3.95693638279533861e-11	0	0	1024	16384
65536	4.96167783038433e-12	1.2608860515334724e-24	1.7062204767181606e-12	9.803202562762621298e-12	0	0	1024	16384
