#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.01474516401772325	0.0003439864672767584	4.093763582132919496e-10	0.1711867108789656977	0	0	1024	16384
9	0.00302818584424289	0.000020801112589419226	5.223940475642794239e-8	0.05188876878464653702	0	0	1024	16384
16	0.0009786234681822279	1.826443090648577e-6	4.158142082542290329e-10	0.009679652551782599174	0	0	1024	16384
36	0.00022639694756477655	9.495321349946742e-8	5.394459138451345112e-10	0.002314954810664422887	0	0	1024	16384
64	0.00007133617718035648024	1.019664371681667039e-8	3.079659030476833862e-10	0.0007119425235419511331	0	0	1024	16384
121	0.000020206847732855474	7.957600959783224e-10	1.867830403715396466e-11	0.0002970029929582941337	0	0	1024	16384
256	4.872448550757832e-6	4.4683086477911256e-11	1.614345402709424301e-10	0.00005468987218872370745	0	0	1024	16384
529	1.0731871031834113e-6	2.08705167732769e-12	1.556050855871721893e-12	0.00001099236833204458685	0	0	1024	16384
1024	3.105490972538758855e-7	1.83754213188777837e-13	1.8406988367796488e-18	3.163647247183620704e-6	0	0	1024	16384
2025	7.808231168717636e-8	1.1958847524038418e-14	1.017403821610544715e-12	9.15016287794586813e-7	0	0	1024	16384
4096	1.8793596266096333e-8	6.16141256202247e-16	5.51913656774903867e-16	1.895868755089404995e-7	0	0	1024	16384
8281	4.51335766848003e-9	3.8982916363635906e-17	1.107471931707309998e-14	5.16911193439559702e-8	0	0	1024	16384
16384	1.0890041800573932e-9	2.6388545841338384e-18	1.63207898942114799e-16	1.33722943261689192e-8	0	0	1024	16384
32761	2.8812237130740636e-10	1.8060588368023222e-19	1.33253738293093222e-17	3.377999506613887987e-9	0	0	1024	16384
65536	7.40001196962988e-11	1.0036349357948101e-20	6.100076195753494307e-16	6.69266968253414704e-10	0	0	1024	16384
